Current (A),CosPhi (Units),Energy Consumption (kWh),Reactive Energy (VARh),Voltage (V)
179.72263,0.7783,21.47511,21972.22989,219.55853
151.18608,0.74151,17.44288,19770.80607,220.13911
136.10962,0.71071,14.25661,19407.47375,221.55971
98.77252,0.69761,10.32038,15391.75238,221.47644
31.82971,0.87572,2.97213,5432.38094,221.5838
34.36079,0.87208,3.05995,5740.593,221.79109
29.46279,0.90089,2.49039,4876.15743,222.1572
26.90462,0.90858,2.40043,4385.01731,222.19686
29.13038,0.90433,2.48977,4754.13776,223.5855
32.11274,0.88975,3.00498,5298.74687,222.44668
39.04704,0.86953,3.11008,6802.67617,221.72318
16.64443,0.95626,1.37136,2486.02855,222.94981
28.93964,0.91012,2.35498,4861.1197,222.85199
21.82061,0.93581,1.79261,3482.55655,222.71808
13.27631,0.95108,1.55117,2314.6765,222.06808
22.68401,0.93453,2.40427,3395.1551,221.62174
113.92072,0.67614,11.53566,17571.98271,220.96987
180.08072,0.77669,20.0673,22299.00752,219.92223
182.4689,0.78217,21.8487,22353.88101,218.71221
183.40215,0.7887,20.72169,22162.08162,219.10555
167.79089,0.74785,18.80541,21420.37348,219.60479
212.31772,0.83637,26.01816,24123.4107,220.05387
175.28816,0.77901,22.08448,21952.66049,221.69595
174.642,0.76609,19.17866,22030.05502,220.48074
150.15884,0.73642,16.22513,20346.89543,220.97234
141.53802,0.70069,14.25731,19840.99181,221.60991
122.90486,0.69708,13.98038,18199.00634,222.52195
98.28709,0.72255,9.61617,15101.52972,221.89551
27.46984,0.90138,2.56977,4794.77981,222.16882
30.57896,0.90121,2.44839,4905.37173,223.18795
30.10204,0.90626,2.5147,5066.33276,223.39029
25.8312,0.90203,2.35853,4503.37765,223.66522
26.24072,0.90523,2.52198,4414.57174,223.45503
27.00155,0.89202,2.36736,4769.79551,222.82691
25.57128,0.89807,2.40608,4453.78199,222.98335
14.23532,0.95468,1.20099,2283.51456,223.04879
10.46221,0.95864,1.33785,1885.11953,223.37229
14.175,0.95099,1.4497,2239.25149,221.99402
12.66926,0.96034,1.16791,2040.01283,222.44028
28.91565,0.93082,2.32923,4346.71783,222.11414
130.6743,0.66811,13.36632,20086.43549,222.76886
123.67443,0.67062,12.57259,19044.55273,222.9185
117.93604,0.68658,11.58376,17995.37325,222.66056
114.73179,0.70172,11.4447,17535.13165,222.10928
112.54315,0.70036,11.40045,17029.49674,221.95175
108.59005,0.66751,11.26355,16985.17886,222.20793
14.99224,0.95685,1.37803,2326.01108,223.39216
21.67322,0.92241,1.83776,3572.93704,221.97887
19.26635,0.91837,1.76587,3220.50031,221.60054
20.07636,0.92286,1.98491,3468.51175,221.32345
21.60936,0.9242,2.03949,3501.91753,221.95473
26.45454,0.9087,2.38201,4407.0611,223.56554
8.97104,0.97515,1.0043,1330.06461,221.87209
18.25887,0.93342,1.94787,3104.7953,222.42435
19.60604,0.94289,1.63555,3223.36414,223.26734
12.59761,0.95776,1.38177,2433.80494,223.30785
21.72702,0.93709,1.62516,3644.52164,223.05314
12.88799,0.95494,1.37342,2167.01106,223.4987
12.64147,0.94947,1.39447,2256.64839,223.42783
12.01776,0.95585,1.06637,1926.25542,221.9766
13.37502,0.95159,1.29185,2230.07852,222.73268
12.91316,0.955,1.18713,2192.90914,223.59086
11.51311,0.96437,1.02509,1832.41314,223.60968
10.7299,0.95905,1.05919,1847.65394,223.62182
11.65716,0.95946,1.00267,1939.93815,223.02045
11.05907,0.96144,1.03051,1813.8696,223.11918
24.40834,0.9308,1.95336,4061.59186,223.1125
17.61017,0.94234,1.38671,3149.36561,222.74701
21.70506,0.92686,1.9051,3544.15622,221.88477
8.65872,0.97549,0.78123,1224.61885,223.0234
17.53756,0.94918,1.4184,2984.80001,223.05118
7.31817,0.98339,0.81872,1320.08512,222.95857
17.53873,0.94487,1.38402,2738.75816,223.01365
14.82543,0.95559,1.3943,2585.05537,222.96241
21.95309,0.91953,2.04241,3853.23507,222.00174
20.10962,0.93071,1.93871,3327.71264,221.52013
21.62203,0.92518,1.81337,3692.25752,222.01359
25.52423,0.90172,2.45324,4481.92094,222.40131
41.96285,0.85765,3.96617,6920.01616,222.93765
30.09921,0.89096,3.1062,5075.05594,223.18386
